1,-16,4,6,9,0,1,9,-3,.,.,.,.,
2,.,11,18,8,6,-9,2,-2,.,.,.,.,
3,.,17,5,7,-1,-11,-4,-7,.,.,.,.,
4,.,13,11,2,-7,-16,-6,.,.,.,.,.,
5,12,3,10,-3,-9,-9,-2,.,.,.,.,.,
6,14,3,7,0,-8,-10,-2,.,.,.,.,.,
7,23,-6,1,-2,-9,-10,-13,.,.,.,.,.,
8,12,-12,-1,3,-9,-2,-17,.,.,.,.,.,
9,4,.,-4,-11,-11,-3,-17,.,.,.,.,.,
10,-2,-4,0,-3,-10,-13,-23,.,.,.,.,.,
11,-1,.,0,-4,-11,-21,-22,.,.,.,.,.,
12,-27,3,2,-14,-11,-29,-14,.,.,.,.,.,
13,-7,0,-8,-13,-13,-25,-3,.,.,.,.,.,
14,-5,8,.,-17,-17,-24,1,.,.,.,.,.,
15,8,.,-5,-13,-21,-21,8,.,.,.,.,.,
16,8,.,-16,-14,-24,-9,9,.,.,.,.,.,
17,8,-18,.,-9,-16,0,5,.,.,.,.,.,
18,-2,-20,.,-1,-18,2,1,.,.,.,.,.,
19,-6,-16,-7,-12,-11,7,-6,.,.,.,.,.,
20,-19,-13,-6,-4,-2,2,-5,.,.,.,.,.,
21,-22,1,-4,-12,-1,-1,-5,.,.,.,.,.,
22,-13,7,0,-7,1,-3,-2,.,.,.,.,.,
23,-14,6,4,-10,1,-6,-3,.,.,.,.,.,
24,.,-1,-1,9,3,0,-6,.,.,.,.,.,
25,16,-1,-7,10,-1,0,-3,.,.,.,.,.,
26,16,-1,-2,3,-1,2,-4,.,.,.,.,.,
27,.,-1,-3,6,-2,5,-10,.,.,.,.,.,
28,.,1,-1,8,2,9,-11,.,.,.,.,.,
29,-16,.,11,4,-1,4,18,.,.,.,.,.,
30,-16,.,10,8,0,3,-3,.,.,.,.,.,
31,-4,.,10,.,-2,.,7,.,.,.,.,.,
